City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,enewetak,11.3474,162.3373,28.81,75,82,4.0,MH,1724889358
83,pemangkat,1.1667,108.9667,25.14,90,100,8.26,ID,1724889359
84,albany,42.6001,-73.9662,21.86,76,86,2.62,US,1724889343
85,wailua homesteads,22.0669,-159.378,27.44,74,100,6.17,US,1724889361
86,sijunjung,-0.6876,100.9537,21.43,83,99,0.51,ID,1724889362
87,west island,-12.1568,96.8225,25.99,78,20,5.66,CC,1724889363
88,tura,25.5198,90.2201,24.26,89,31,1.21,IN,1724889365
89,touros,-5.1989,-35.4608,24.16,79,62,6.87,BR,1724889367
90,meulaboh,4.1363,96.1285,23.93,87,98,1.78,ID,1724889368
91,prado,-17.3411,-39.2208,22.29,71,51,5.2,BR,1724889369
92,pisco,-13.7,-76.2167,17.03,77,20,6.69,PE,1724889370
93,kingston,17.997,-76.7936,30.53,70,40,4.12,JM,1724889178
94,nova sintra,14.8667,-24.7167,26.81,79,76,3.98,CV,1724889372
95,tolanaro,-25.0319,46.9987,18.46,85,0,6.04,MG,1724889373
96,villa gesell,-37.2639,-56.973,9.23,81,73,4.94,AR,1724889095
97,colonia,50.9333,6.95,22.76,72,0,1.03,DE,1724889375
98,alotau,-10.3069,150.4462,27.75,68,69,2.93,PG,1724888779
99,mount pearl,47.5166,-52.7813,20.08,87,100,7.72,CA,1724889086
100,mareeba,-17.0,145.4333,25.13,70,6,3.69,AU,1724889379
101,hawaiian paradise park,19.5933,-154.9731,27.73,88,75,5.14,US,1724889380
102,dudinka,69.4058,86.1778,9.96,94,97,3.25,RU,1724889381
103,acapulco de juarez,16.8634,-99.8901,30.9,66,75,2.57,MX,1724888762
104,la'ie,21.6477,-157.9253,29.66,78,35,2.68,US,1724889383
105,flin flon,54.7682,-101.865,20.91,60,75,4.63,CA,1724889384
106,georgetown,5.4112,100.3354,25.96,87,40,2.06,MY,1724889188
107,isangel,-19.55,169.2667,24.06,60,75,2.06,VU,1724889387
108,isafjordur,66.0755,-23.124,3.7,83,35,2.28,IS,1724889388
109,iqaluit,63.7506,-68.5145,8.85,66,75,10.29,CA,1724888854
110,trinidad,-14.8333,-64.9,27.99,47,7,0.0,BO,1724889390
111,selfoss,63.9331,-20.9971,7.8,89,93,4.3,IS,1724889391
112,kapa'a,22.0752,-159.319,28.18,71,100,6.17,US,1724889392
113,semey,50.4111,80.2275,9.12,87,0,2.0,KZ,1724889393
114,den helder,52.9599,4.7593,18.87,94,40,1.54,NL,1724889394
115,juegang,32.3174,121.1855,29.07,75,0,4.39,CN,1724889321
116,aripuana,-9.1667,-60.6333,27.78,29,1,0.35,BR,1724888802
117,kuanda,56.3161,116.0806,13.29,71,100,1.17,RU,1724889277
118,safotu,-13.4513,-172.4018,26.91,77,34,4.61,WS,1724889399
119,badger,64.8,-147.5333,17.42,62,75,1.54,US,1724889400
120,nieuw amsterdam,5.8833,-55.0833,25.86,87,40,2.28,SR,1724889401
121,kolonia town,6.964,158.206,32.0,66,75,4.12,FM,1724889402
122,nemuro,43.3236,145.575,18.07,99,100,0.74,JP,1724889403
123,broome,42.2506,-75.833,24.66,85,79,0.45,US,1724889405
124,natal,-5.795,-35.2094,24.36,83,20,3.6,BR,1724888674
125,pervomayskoye,43.919,46.7102,24.13,62,28,7.19,RU,1724889407
126,smithers,54.7804,-127.1743,18.18,48,75,1.54,CA,1724889408
127,hengyang,26.8881,112.615,25.03,87,99,1.81,CN,1724889410
128,south sioux city,42.4739,-96.4136,29.97,62,0,6.17,US,1724889411
129,ushuaia,-54.8,-68.3,-0.19,100,100,2.57,AR,1724889412
130,puerto ayora,-0.7393,-90.3518,19.75,95,63,0.89,EC,1724889414
131,alice springs,-23.7,133.8833,24.75,27,5,0.51,AU,1724889415
132,mokhsogollokh,61.4681,128.9203,8.88,86,100,1.79,RU,1724889416
133,rodionovo-nesvetayskaya,47.6103,39.7121,24.29,36,39,4.95,RU,1724889417
134,dilling,12.05,29.65,22.9,87,100,2.89,SD,1724889418
135,nizhnekamsk,55.6366,51.8245,16.44,100,75,3.0,RU,1724889419
136,riverside,33.7333,-116.0508,38.36,16,0,6.69,US,1724889420
137,khandyga,62.6667,135.6,7.12,98,100,2.83,RU,1724889421
138,bonthe,7.5264,-12.505,23.94,94,100,2.89,SL,1724889422
139,sao jose de ribamar,-2.5619,-44.0542,26.21,81,100,6.11,BR,1724889424
140,stanley,54.868,-1.6985,12.93,87,0,2.06,GB,1724888830
141,westport,41.1415,-73.3579,29.87,74,0,2.57,US,1724888853
142,port alfred,-33.5906,26.891,9.54,58,51,3.13,ZA,1724889427
143,colac,-38.3333,143.5833,11.29,72,100,5.11,AU,1724889428
144,manamadurai,9.7,78.4833,27.68,63,98,2.37,IN,1724889429
145,yuxia,34.0615,108.6291,26.43,65,52,0.37,CN,1724889430
146,avarua,-21.2078,-159.775,26.03,73,75,6.69,CK,1724889431
147,new bern,35.1085,-77.0441,29.03,81,31,1.92,US,1724889432
148,new norfolk,-42.7826,147.0587,11.07,84,100,4.91,AU,1724889434
149,egilsstadir,65.2653,-14.3948,6.95,87,75,2.06,IS,1724889435
150,saipan,15.1355,145.701,31.39,74,40,7.72,MP,1724889436
151,jayapura,-2.5333,140.7,27.66,75,83,1.7,ID,1724889437
152,okakarara,-20.5833,17.4333,14.4,17,0,3.31,NA,1724889438
153,dryden,49.7833,-92.7503,22.16,46,0,5.14,CA,1724889439
154,santa cruz,-17.8,-63.1667,25.03,41,13,3.6,BO,1724889440
155,korsakov,46.6328,142.7813,17.91,91,89,2.29,RU,1724889441
156,an nimas,19.1455,42.1201,17.12,75,82,1.18,SA,1724889442
157,sarangani,5.4033,125.4636,28.4,77,94,3.67,PH,1724889444
158,pulsano,40.3821,17.3564,27.51,70,14,1.65,IT,1724889445
159,veraval,20.9,70.3667,27.06,89,100,9.7,IN,1724889446
160,tra vinh,9.9347,106.3453,25.15,91,99,3.56,VN,1724889447
161,passo fundo,-28.2628,-52.4067,14.91,72,81,2.95,BR,1724889448
162,invercargill,-46.4,168.35,12.79,66,55,4.92,NZ,1724888863
163,san antonio de pale,-1.4014,5.6325,23.01,81,23,3.1,GQ,1724889450
164,umluj,25.0213,37.2685,30.56,78,95,3.27,SA,1724889451
165,tofol,5.3248,163.0078,28.88,84,75,3.09,FM,1724889452
166,dunedin,-45.8742,170.5036,13.67,57,32,1.05,NZ,1724889287
167,jamestown,42.097,-79.2353,25.01,81,100,2.57,US,1724889455
168,tuy hoa,13.0833,109.3,27.18,76,67,3.45,VN,1724889456
169,mount gambier,-37.8333,140.7667,13.23,74,92,3.81,AU,1724889457
170,akureyri,65.6835,-18.0878,5.96,93,100,1.54,IS,1724889458
171,dzilam gonzalez,21.2833,-88.9333,25.8,92,99,2.17,MX,1724889459
172,arraial do cabo,-22.9661,-42.0278,15.98,94,40,1.54,BR,1724889460
173,longyearbyen,78.2186,15.6401,2.91,81,0,1.03,SJ,1724889461
174,olonkinbyen,70.9221,-8.7187,6.47,97,100,4.78,SJ,1724889462
175,yarkovo,57.4028,67.0786,15.53,94,92,5.58,RU,1724889464
176,klaksvik,62.2266,-6.589,10.4,96,93,5.77,FO,1724889465
177,mejit,10.2753,170.8646,28.33,76,91,4.2,MH,1724889466
178,iskateley,67.6803,53.1512,7.42,91,77,5.79,RU,1724889467
179,likiep,9.8251,169.3107,28.69,74,99,3.72,MH,1724889468
180,parnamirim,-5.9156,-35.2628,24.19,83,20,3.6,BR,1724889469
181,kerikeri,-35.2268,173.9474,18.28,90,100,0.89,NZ,1724889470
182,safford,32.834,-109.7076,29.86,40,73,2.24,US,1724889471
183,mytilene,39.11,26.5547,26.62,51,1,1.34,GR,1724889472
184,demyansk,57.643,32.466,12.43,91,81,1.15,RU,1724889474
185,sinabang,2.4803,96.3801,25.81,84,99,1.21,ID,1724889475
186,attock city,33.7731,72.3741,25.53,77,100,1.22,PK,1724889476
187,redencao,-4.2258,-38.7306,23.36,88,46,2.09,BR,1724889477
188,cabo san lucas,22.8909,-109.9124,27.91,76,0,5.45,MX,1724889479
189,susuman,62.7833,148.1667,5.16,65,93,1.9,RU,1724889480
190,buta,2.7858,24.73,21.42,99,100,0.57,CD,1724889482
191,lujan,-34.5703,-59.105,13.36,74,100,1.34,AR,1724889483
192,sur,22.5667,59.5289,29.62,67,99,3.18,OM,1724889485
193,gao,16.6362,1.637,31.74,47,100,5.08,ML,1724889486
194,atafu village,-8.5421,-172.5159,28.42,75,3,7.66,TK,1724889487
195,hermanus,-34.4187,19.2345,4.33,62,96,1.77,ZA,1724889488
196,iron river,46.0927,-88.6423,16.96,84,95,1.55,US,1724889489
197,antigonish,45.6169,-61.9986,16.01,95,100,0.89,CA,1724889490
198,papao,-17.75,-149.55,27.82,79,14,4.62,PF,1724889492
199,petrovskaya,45.4314,37.955,22.89,39,92,4.44,RU,1724889493
200,howrah,22.5892,88.3103,27.0,94,40,1.54,IN,1724889494
201,alofi,-19.0595,-169.9187,24.94,69,40,5.14,NU,1724889495
